trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
313,False,"{'a': 0.01, 'e': 0.04370387267410928}",30,20,17.04800093260645,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.01, 'e': 0.043269284831246216}",20,4,16.3820270779845,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
315,False,"{'a': 0.01, 'e': 0.042839013143592446}",25,20,8.41670535740175,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.01, 'e': 0.04241301490302626}",20,13,10.907711294599961,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.01, 'e': 0.04199124781933725}",30,15,26.964929727715624,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.01, 'e': 0.04157367001627595}",25,0,38.073420247106206,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
319,False,"{'a': 0.01, 'e': 0.04116024002763676}",20,1,26.502397653489794,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.01, 'e': 0.04075091679337376}",20,7,-3.383486671473965,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
321,False,"{'a': 0.01, 'e': 0.040345659655749565}",25,14,-25.328383142654076,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
322,False,"{'a': 0.01, 'e': 0.03994442835551669}",20,0,29.631819152244034,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
323,False,"{'a': 0.01, 'e': 0.03954718302813167}",25,13,6.053990005735193,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
324,False,"{'a': 0.01, 'e': 0.0391538842000013}",25,3,27.900350160040222,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.01, 'e': 0.038764492784761406}",20,0,27.40078057298167,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.01, 'e': 0.038378970079587356}",20,0,29.90776636928774,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
327,False,"{'a': 0.01, 'e': 0.03799727776153674}",25,15,19.65838322857538,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.01, 'e': 0.03761937788392345}",30,12,-20.905086770880537,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
329,False,"{'a': 0.01, 'e': 0.037245232872723605}",20,14,-27.803195640212884,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
330,False,"{'a': 0.01, 'e': 0.03687480552301249}",20,0,28.965769107768246,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.01, 'e': 0.03650805899543302}",25,16,14.977315251042866,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.01, 'e': 0.03614495681269478}",20,0,27.20915521339677,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
333,False,"{'a': 0.01, 'e': 0.03578546285610427}",20,10,16.820758053152822,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.01, 'e': 0.03542954136212543}",25,6,31.46495604524051,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.01, 'e': 0.03507715691897076}",25,9,21.05256083786382,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.01, 'e': 0.034728274463222644}",25,11,24.688607751789277,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.01, 'e': 0.034382859276484656}",25,11,-0.30137041749323723,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
338,False,"{'a': 0.01, 'e': 0.0340408769820628}",30,0,29.80004781741429,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
339,False,"{'a': 0.01, 'e': 0.03370229354167623}",20,5,23.943991679852935,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.01, 'e': 0.03336707525219772}",20,15,11.9583170772829,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.01, 'e': 0.03303518874242302}",30,0,32.16906480202494,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
342,False,"{'a': 0.01, 'e': 0.032706600969869624}",30,20,17.991058075537595,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.01, 'e': 0.03238127921760409}",30,23,13.00171537762637,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.01, 'e': 0.03205919109109834}",20,14,9.447847527339306,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.01, 'e': 0.03174030451511411}",20,0,22.504852580102085,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
346,False,"{'a': 0.01, 'e': 0.03142458773061589}",35,3,38.856072063904605,"{0: 31, 1: 1, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.01, 'e': 0.031112009291711814}",25,10,28.95480485457486,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.01, 'e': 0.030802538062622512}",30,16,13.306468636138653,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
